jvm,case,method,draws,seed,status,mean,ess,rhat,attempts,pilotTransitions,visits,pilotSeconds,fitSeconds,totalSeconds,reference
1,concentrated,legacy,58112,41000017,Completed,2.969097466444833,NaN,NaN,58112,0,0,0.0,0.0,0.1505083,2.9702970297029703
1,concentrated,prior,44100,41000017,Completed,2.9720445673478086,77.58155698799526,NaN,44100,0,220500,0.0,0.0,0.1290766,2.9702970297029703
1,concentrated,single,35104,41000017,Fitted,2.9705082251577988,13776.127887713325,2.024618357459464,35104,3000,210624,0.024650000000000002,4.5710000000000005E-4,0.1165376,2.9702970297029703
1,concentrated,mixture,23168,41000017,Fitted,2.970251008759608,11830.559673764204,2.0493905269478194,23168,3000,139008,0.0093016,0.01301,0.07630580000000001,2.9702970297029703
1,concentrated,mh,45744,41000017,Completed,2.9521644750172804,NaN,1.2270403772868346,45744,1000,0,0.0,0.0,0.10947240000000001,2.9702970297029703
1,concentrated,legacy,116584,41000017,Completed,2.9644459569375816,NaN,NaN,116584,0,0,0.0,0.0,0.1661863,2.9702970297029703
1,concentrated,prior,88416,41000017,Completed,2.9611782460543994,158.79905627101624,NaN,88416,0,530496,0.0,0.0,0.145715,2.9702970297029703
1,concentrated,single,73080,41000017,Fitted,2.9700317492345816,28741.595796671325,2.024618357459464,73080,3000,438480,0.0063923,4.1020000000000005E-4,0.1436938,2.9702970297029703
1,concentrated,mixture,63196,41000017,Fitted,2.970118560073561,32254.423122569453,2.0493905269478194,63196,3000,379176,0.005654200000000001,0.010070200000000001,0.1511299,2.9702970297029703
1,concentrated,mh,92732,41000017,Completed,2.9587780219346116,NaN,1.1553594870101473,92732,1000,0,0.0,0.0,0.1849869,2.9702970297029703
1,hierarchical,legacy,43792,41000017,Completed,0.9806602658783536,NaN,NaN,43792,0,0,0.0,0.0,0.0724741,0.9803921568627451
1,hierarchical,prior,34824,41000017,Completed,0.9817838722950741,2949.5029205372484,NaN,34824,0,313416,0.0,0.0,0.0691389,0.9803921568627451
1,hierarchical,single,29384,41000017,Fitted,0.9814108473887051,13157.641515227362,1.258938012538374,29384,3000,235072,0.012233200000000001,3.1610000000000004E-4,0.0807036,0.9803921568627451
1,hierarchical,mixture,11160,41000017,Fitted,0.9773819801850532,5826.509766740577,1.0941310409964744,11160,3000,100440,0.008658500000000001,0.0719955,0.1403654,0.9803921568627451
1,hierarchical,mh,46584,41000017,Completed,0.981038242443097,NaN,1.0113114265366432,46584,1000,0,0.0,0.0,0.1100637,0.9803921568627451
1,hierarchical,legacy,87804,41000017,Completed,0.9805125804196272,NaN,NaN,87804,0,0,0.0,0.0,0.18796380000000001,0.9803921568627451
1,hierarchical,prior,69696,41000017,Completed,0.9797263767679324,5843.809614236681,NaN,69696,0,627264,0.0,0.0,0.13747800000000002,0.9803921568627451
1,hierarchical,single,61512,41000017,Fitted,0.9787638864582698,27006.548201501155,1.178606219963214,61512,3000,615120,0.0059382,2.619E-4,0.1429117,0.9803921568627451
1,hierarchical,mixture,41528,41000017,Fitted,0.9838184971077086,14964.88359786894,1.1038910840980278,41528,3000,373752,0.005897800000000001,0.054509100000000005,0.1648823,0.9803921568627451
1,hierarchical,mh,94824,41000017,Completed,0.9725711666035531,NaN,1.0012960936688462,94824,1000,0,0.0,0.0,0.19931880000000002,0.9803921568627451
1,mixture,legacy,102232,41000017,Completed,0.6275281422491521,NaN,NaN,102232,0,0,0.0,0.0,0.0788798,0.631578947368421
1,mixture,prior,47620,41000017,Completed,0.6235061319858067,31161.270426270377,NaN,47620,0,238100,0.0,0.0,0.078235,0.631578947368421
1,mixture,single,35864,41000017,Fitted,0.6320784670946473,6258.952476447698,1.0043717323219294,35864,3000,179320,0.006616800000000001,2.473E-4,0.072705,0.631578947368421
1,mixture,mixture,29192,41000017,Fitted,0.6305132510367294,28102.38551348558,1.0067448461955986,29192,3000,145960,0.005951700000000001,0.0039595,0.0721847,0.631578947368421
1,mixture,mh,42832,41000017,Completed,0.6381210310048562,NaN,1.0002235610081804,42832,1000,0,0.0,0.0,0.0905813,0.631578947368421
1,mixture,legacy,204768,41000017,Completed,0.6295308137873556,NaN,NaN,204768,0,0,0.0,0.0,0.1334825,0.631578947368421
1,mixture,prior,95408,41000017,Completed,0.6275445380857074,62525.80942260364,NaN,95408,0,477040,0.0,0.0,0.145736,0.631578947368421
1,mixture,single,74768,41000017,Fitted,0.6259853555265816,12955.697974547353,1.0043717323219294,74768,3000,448608,0.0061257,3.1340000000000003E-4,0.1519877,0.631578947368421
1,mixture,mixture,62548,41000017,Fitted,0.6317396779334823,60195.70674885181,1.0067448461955986,62548,3000,437836,0.0058033,0.003736,0.1485387,0.631578947368421
1,mixture,mh,86692,41000017,Completed,0.6376828311724265,NaN,1.0000784199748276,86692,1000,0,0.0,0.0,0.18955460000000002,0.631578947368421
1,concentrated,prior,44100,56485880,Completed,2.9600387806979573,64.97140632277024,NaN,44100,0,264600,0.0,0.0,0.06876660000000001,2.9702970297029703
1,concentrated,single,35104,56485880,Fitted,2.9706527755096084,19607.941635250172,3.5611076376080235,35104,3000,210624,0.006313600000000001,3.131E-4,0.0786433,2.9702970297029703
1,concentrated,mixture,23168,56485880,Fitted,2.9705294673367706,11709.454375220603,2.7422635699164295,23168,3000,115840,0.005804,0.0576344,0.11542490000000001,2.9702970297029703
1,concentrated,mh,45744,56485880,Completed,2.9312174625178185,NaN,1.1470767905091057,45744,1000,0,0.0,0.0,0.095157,2.9702970297029703
1,concentrated,legacy,58112,56485880,Completed,2.961804393145236,NaN,NaN,58112,0,0,0.0,0.0,0.07822420000000001,2.9702970297029703
1,concentrated,prior,88416,56485880,Completed,2.965471282374335,140.10938840645542,NaN,88416,0,442080,0.0,0.0,0.14465250000000002,2.9702970297029703
1,concentrated,single,73080,56485880,Fitted,2.97034764416169,40754.0049181073,3.5611076376080235,73080,3000,365400,0.006137200000000001,3.044E-4,0.14776910000000001,2.9702970297029703
1,concentrated,mixture,63196,56485880,Fitted,2.9705376783101487,32277.494444364427,2.7422635699164295,63196,3000,315980,0.007590700000000001,0.0626052,0.2095921,2.9702970297029703
1,concentrated,mh,92732,56485880,Completed,2.952274154587767,NaN,1.0886096842611441,92732,1000,0,0.0,0.0,0.2033386,2.9702970297029703
1,concentrated,legacy,116584,56485880,Completed,2.965452350227736,NaN,NaN,116584,0,0,0.0,0.0,0.15751690000000002,2.9702970297029703
1,hierarchical,prior,34824,56485880,Completed,0.9794074157856161,3037.8169217813506,NaN,34824,0,313416,0.0,0.0,0.06979500000000001,0.9803921568627451
1,hierarchical,single,29384,56485880,Fitted,0.9821636249193556,15788.611986536505,1.0870710057259874,29384,3000,293840,0.0067682,2.987E-4,0.0757085,0.9803921568627451
1,hierarchical,mixture,11160,56485880,IterationLimit,NaN,NaN,1.1349614011762528,0,3000,0,0.0066927,0.076852,0.08375880000000001,0.9803921568627451
1,hierarchical,mh,46584,56485880,Completed,0.9684525136705527,NaN,1.014192016828734,46584,1000,0,0.0,0.0,0.10700100000000001,0.9803921568627451
1,hierarchical,legacy,43792,56485880,Completed,0.9804672504507651,NaN,NaN,43792,0,0,0.0,0.0,0.0841972,0.9803921568627451
1,hierarchical,prior,69696,56485880,Completed,0.9805084629250905,6085.337666101156,NaN,69696,0,627264,0.0,0.0,0.1442169,0.9803921568627451
1,hierarchical,single,61512,56485880,Fitted,0.9796504250390768,31699.194071037717,1.0557374204771317,61512,3000,553608,0.006591700000000001,2.587E-4,0.14515930000000002,0.9803921568627451
1,hierarchical,mixture,41528,56485880,Fitted,0.9824671784387445,21076.408812853268,1.3026155882989146,41528,3000,415280,0.0065027,0.0362873,0.1513208,0.9803921568627451
1,hierarchical,mh,94824,56485880,Completed,0.9797795230515086,NaN,1.0032541193158644,94824,1000,0,0.0,0.0,0.206123,0.9803921568627451
1,hierarchical,legacy,87804,56485880,Completed,0.9805878871501784,NaN,NaN,87804,0,0,0.0,0.0,0.1570436,0.9803921568627451
1,mixture,prior,47620,56485880,Completed,0.62797724848903,31212.943975361588,NaN,47620,0,238100,0.0,0.0,0.0757411,0.631578947368421
1,mixture,single,35864,56485880,Fitted,0.6252673978152041,6371.277854987593,1.0078200141407676,35864,3000,179320,0.0061876000000000006,2.8270000000000004E-4,0.0813121,0.631578947368421
1,mixture,mixture,29192,56485880,Fitted,0.6278602180286534,26654.979009704686,1.0019522811020765,29192,3000,175152,0.0065814,0.0041456,0.083585,0.631578947368421
1,mixture,mh,42832,56485880,Completed,0.6266342921180426,NaN,1.0000753938852238,42832,1000,0,0.0,0.0,0.09830580000000001,0.631578947368421
1,mixture,legacy,102232,56485880,Completed,0.6324708979474455,NaN,NaN,102232,0,0,0.0,0.0,0.0882161,0.631578947368421
1,mixture,prior,95408,56485880,Completed,0.6331039797433472,62659.694371539714,NaN,95408,0,477040,0.0,0.0,0.154307,0.631578947368421
1,mixture,single,74768,56485880,Fitted,0.6295448698392647,13174.01914932871,1.0078200141407676,74768,3000,373840,0.0058976,2.9840000000000004E-4,0.1538823,0.631578947368421
1,mixture,mixture,62548,56485880,Fitted,0.6329567297709812,57078.30881288146,1.0019522811020765,62548,3000,312740,0.006354200000000001,0.0041929,0.1517098,0.631578947368421
1,mixture,mh,86692,56485880,Completed,0.6298505052369308,NaN,1.000136276597589,86692,1000,0,0.0,0.0,0.1970598,0.631578947368421
1,mixture,legacy,204768,56485880,Completed,0.6320040072440488,NaN,NaN,204768,0,0,0.0,0.0,0.1421916,0.631578947368421
1,concentrated,single,35104,71971743,Fitted,2.969910753008936,19296.971949284783,2.7217537316031684,35104,3000,175520,0.006514000000000001,3.062E-4,0.07554860000000001,2.9702970297029703
1,concentrated,mixture,23168,71971743,Fitted,2.971922824483734,1125.6071029293591,2.8694630947892823,23168,3000,115840,0.006067100000000001,0.0051704,0.0657524,2.9702970297029703
1,concentrated,mh,45744,71971743,Completed,3.0056926967534636,NaN,1.227798411403977,45744,1000,0,0.0,0.0,0.1045157,2.9702970297029703
1,concentrated,legacy,58112,71971743,Completed,2.961673385900277,NaN,NaN,58112,0,0,0.0,0.0,0.0800942,2.9702970297029703
1,concentrated,prior,44100,71971743,Completed,2.9536823439277886,66.05106336098548,NaN,44100,0,264600,0.0,0.0,0.0732163,2.9702970297029703
1,concentrated,single,73080,71971743,Fitted,2.9701615668950883,40289.28128263134,2.7217537316031684,73080,3000,365400,0.0060431,2.633E-4,0.1425366,2.9702970297029703
1,concentrated,mixture,63196,71971743,Fitted,2.9753273941980116,2547.439921722423,2.8694630947892823,63196,3000,379176,0.0059973000000000005,0.0041164,0.1402516,2.9702970297029703
1,concentrated,mh,92732,71971743,Completed,2.977881534595312,NaN,1.1219561853635325,92732,1000,0,0.0,0.0,0.183513,2.9702970297029703
1,concentrated,legacy,116584,71971743,Completed,2.965931030232555,NaN,NaN,116584,0,0,0.0,0.0,0.14996,2.9702970297029703
1,concentrated,prior,88416,71971743,Completed,2.960466955971878,132.99196169412136,NaN,88416,0,442080,0.0,0.0,0.1311505,2.9702970297029703
1,hierarchical,single,29384,71971743,Fitted,0.9806646647784462,15405.27680546895,1.153782956750097,29384,3000,293840,0.0060983,1.5250000000000002E-4,0.07088420000000001,0.9803921568627451
1,hierarchical,mixture,11160,71971743,Fitted,0.9805679725966128,5845.982897392924,1.0410098711126723,11160,3000,89280,0.0056797,0.0236343,0.0674802,0.9803921568627451
1,hierarchical,mh,46584,71971743,Completed,0.9722891448077035,NaN,1.002581106967273,46584,1000,0,0.0,0.0,0.10327380000000001,0.9803921568627451
1,hierarchical,legacy,43792,71971743,Completed,0.9791881095621908,NaN,NaN,43792,0,0,0.0,0.0,0.0792362,0.9803921568627451
1,hierarchical,prior,34824,71971743,Completed,0.9790600111339913,3041.902147604777,NaN,34824,0,313416,0.0,0.0,0.0670496,0.9803921568627451
1,hierarchical,single,61512,71971743,Fitted,0.980812446534653,31341.494068282427,1.132691197051776,61512,3000,553608,0.0053838,1.964E-4,0.1338002,0.9803921568627451
1,hierarchical,mixture,41528,71971743,Fitted,0.9806082147303488,21145.167977920497,1.3510020601614112,41528,3000,373752,0.0057757,0.0092668,0.11532830000000001,0.9803921568627451
1,hierarchical,mh,94824,71971743,Completed,0.9774217796107958,NaN,1.0015915260655444,94824,1000,0,0.0,0.0,0.2079851,0.9803921568627451
1,hierarchical,legacy,87804,71971743,Completed,0.9812741771980165,NaN,NaN,87804,0,0,0.0,0.0,0.15854020000000002,0.9803921568627451
1,hierarchical,prior,69696,71971743,Completed,0.9810721221580169,5986.181483608209,NaN,69696,0,696960,0.0,0.0,0.1333279,0.9803921568627451
1,mixture,single,35864,71971743,Fitted,0.6261799573151293,6174.214900997406,1.0101655840989692,35864,3000,179320,0.005398900000000001,1.597E-4,0.07295070000000001,0.631578947368421
1,mixture,mixture,29192,71971743,Fitted,0.6308426659525287,27732.9762488344,1.003308658653697,29192,3000,175152,0.005228900000000001,0.004233000000000001,0.07122060000000001,0.631578947368421
1,mixture,mh,42832,71971743,Completed,0.6291090773253643,NaN,1.0003682996432828,42832,1000,0,0.0,0.0,0.08878520000000001,0.631578947368421
1,mixture,legacy,102232,71971743,Completed,0.6291252505630871,NaN,NaN,102232,0,0,0.0,0.0,0.079791,0.631578947368421
1,mixture,prior,47620,71971743,Completed,0.6257605812736337,31187.07446455441,NaN,47620,0,285720,0.0,0.0,0.0733196,0.631578947368421
1,mixture,single,74768,71971743,Fitted,0.6230999999134689,12983.654847783922,1.0101655840989692,74768,3000,373840,0.005711600000000001,1.644E-4,0.1463616,0.631578947368421
1,mixture,mixture,62548,71971743,Fitted,0.6311558210531886,59418.44798332416,1.003308658653697,62548,3000,312740,0.0061963,0.0042250000000000005,0.14065750000000002,0.631578947368421
1,mixture,mh,86692,71971743,Completed,0.6263092326858303,NaN,1.0001848278178034,86692,1000,0,0.0,0.0,0.18318030000000002,0.631578947368421
1,mixture,legacy,204768,71971743,Completed,0.6295743534621514,NaN,NaN,204768,0,0,0.0,0.0,0.1333098,0.631578947368421
1,mixture,prior,95408,71971743,Completed,0.6290450274878724,62561.32631166739,NaN,95408,0,572448,0.0,0.0,0.14726160000000002,0.631578947368421
1,concentrated,mixture,23168,87457606,Fitted,2.9686750507790305,8455.175961400339,2.2537971368419853,23168,3000,115840,0.0061576,0.0057057,0.059547800000000005,2.9702970297029703
1,concentrated,mh,45744,87457606,Completed,2.967161922717957,NaN,1.198956256531921,45744,1000,0,0.0,0.0,0.08862170000000001,2.9702970297029703
1,concentrated,legacy,58112,87457606,Completed,2.97015976894857,NaN,NaN,58112,0,0,0.0,0.0,0.0737319,2.9702970297029703
1,concentrated,prior,44100,87457606,Completed,2.9691356411834167,78.15856607905016,NaN,44100,0,264600,0.0,0.0,0.0662274,2.9702970297029703
1,concentrated,single,35104,87457606,Fitted,2.9709071423041538,17537.246500198475,2.0674523020100826,35104,3000,210624,0.005388400000000001,1.694E-4,0.0672274,2.9702970297029703
1,concentrated,mixture,63196,87457606,Fitted,2.9696305917628427,23062.586609932347,2.2537971368419853,63196,3000,315980,0.005632900000000001,0.005767700000000001,0.13995580000000002,2.9702970297029703
1,concentrated,mh,92732,87457606,Completed,2.9751157057532516,NaN,1.0488398970438058,92732,1000,0,0.0,0.0,0.18716860000000002,2.9702970297029703
1,concentrated,legacy,116584,87457606,Completed,2.966065486733246,NaN,NaN,116584,0,0,0.0,0.0,0.1655392,2.9702970297029703
1,concentrated,prior,88416,87457606,Completed,2.9703521599319953,146.23083877611052,NaN,88416,0,530496,0.0,0.0,0.1374195,2.9702970297029703
1,concentrated,single,73080,87457606,Fitted,2.970834132730911,36571.43773162218,2.0674523020100826,73080,3000,438480,0.0050511,1.6490000000000002E-4,0.14105020000000001,2.9702970297029703
1,hierarchical,mixture,11160,87457606,Fitted,0.9859105452544004,5406.4952078072165,1.1506091655494741,11160,3000,100440,0.0059306,0.061861700000000006,0.0953562,0.9803921568627451
1,hierarchical,mh,46584,87457606,Completed,0.9789556896224705,NaN,1.0131093320063798,46584,1000,0,0.0,0.0,0.0973963,0.9803921568627451
1,hierarchical,legacy,43792,87457606,Completed,0.9835164366897247,NaN,NaN,43792,0,0,0.0,0.0,0.0719825,0.9803921568627451
1,hierarchical,prior,34824,87457606,Completed,0.9838990270799597,2982.450600469554,NaN,34824,0,313416,0.0,0.0,0.0670245,0.9803921568627451
1,hierarchical,single,29384,87457606,Fitted,0.9797094329008188,15505.623466646644,1.0878744618358585,29384,3000,235072,0.0052199,1.787E-4,0.0707407,0.9803921568627451
1,hierarchical,mixture,41528,87457606,Fitted,0.9817253875438287,20978.386197228592,1.2301772785632539,41528,3000,373752,0.0064631,0.0176013,0.1295985,0.9803921568627451
1,hierarchical,mh,94824,87457606,Completed,0.9908534289891244,NaN,1.009737118249915,94824,1000,0,0.0,0.0,0.1958997,0.9803921568627451
1,hierarchical,legacy,87804,87457606,Completed,0.9810932322259123,NaN,NaN,87804,0,0,0.0,0.0,0.1467946,0.9803921568627451
1,hierarchical,prior,69696,87457606,Completed,0.9806387444815775,5919.117622547878,NaN,69696,0,557568,0.0,0.0,0.1306073,0.9803921568627451
1,hierarchical,single,61512,87457606,Fitted,0.980973125591709,30904.029994687604,1.202714339315889,61512,3000,615120,0.0056559,1.887E-4,0.1396252,0.9803921568627451
1,mixture,mixture,29192,87457606,Fitted,0.6327474329262566,27852.76771858713,1.0006023546593488,29192,3000,145960,0.005458,0.0038354,0.0714198,0.631578947368421
1,mixture,mh,42832,87457606,Completed,0.6335917071348525,NaN,1.0001643504387647,42832,1000,0,0.0,0.0,0.0864106,0.631578947368421
1,mixture,legacy,102232,87457606,Completed,0.6302149960796911,NaN,NaN,102232,0,0,0.0,0.0,0.0673803,0.631578947368421
1,mixture,prior,47620,87457606,Completed,0.631858055107659,31259.43071462098,NaN,47620,0,238100,0.0,0.0,0.0703906,0.631578947368421
1,mixture,single,35864,87457606,Fitted,0.6377080018097964,6212.261642212626,1.0015837688809202,35864,3000,179320,0.005839400000000001,1.695E-4,0.0708513,0.631578947368421
1,mixture,mixture,62548,87457606,Fitted,0.6307102171342626,59686.405018859805,1.0006023546593488,62548,3000,312740,0.0057829000000000005,0.0038020000000000003,0.14186790000000002,0.631578947368421
1,mixture,mh,86692,87457606,Completed,0.6315461634291515,NaN,1.0000081976382131,86692,1000,0,0.0,0.0,0.18675560000000002,0.631578947368421
1,mixture,legacy,204768,87457606,Completed,0.6327328714396223,NaN,NaN,204768,0,0,0.0,0.0,0.13090670000000001,0.631578947368421
1,mixture,prior,95408,87457606,Completed,0.6305275021548032,62596.865071508284,NaN,95408,0,667856,0.0,0.0,0.151011,0.631578947368421
1,mixture,single,74768,87457606,Fitted,0.6338569143645786,13072.941407823195,1.0015837688809202,74768,3000,448608,0.005325000000000001,1.667E-4,0.1489278,0.631578947368421
1,concentrated,mh,45744,102943469,Completed,2.9857416134208297,NaN,1.1640618775172122,45744,1000,0,0.0,0.0,0.08902700000000001,2.9702970297029703
1,concentrated,legacy,58112,102943469,Completed,2.966666562045616,NaN,NaN,58112,0,0,0.0,0.0,0.0731373,2.9702970297029703
1,concentrated,prior,44100,102943469,Completed,2.9668456017250775,70.68411642452807,NaN,44100,0,264600,0.0,0.0,0.06601270000000001,2.9702970297029703
1,concentrated,single,35104,102943469,Fitted,2.970614441284471,14377.275046410594,2.167597571711857,35104,3000,210624,0.0051513,1.7820000000000002E-4,0.068015,2.9702970297029703
1,concentrated,mixture,23168,102943469,Fitted,2.949047494696454,5.027933212393751,6.158378943161092,23168,3000,139008,0.0052962,0.0053867,0.058856200000000004,2.9702970297029703
1,concentrated,mh,92732,102943469,Completed,2.96465623091326,NaN,1.064463066402486,92732,1000,0,0.0,0.0,0.17904730000000002,2.9702970297029703
1,concentrated,legacy,116584,102943469,Completed,2.9647945790951997,NaN,NaN,116584,0,0,0.0,0.0,0.15441780000000002,2.9702970297029703
1,concentrated,prior,88416,102943469,Completed,2.9657603007817404,149.725864774098,NaN,88416,0,530496,0.0,0.0,0.13630720000000002,2.9702970297029703
1,concentrated,single,73080,102943469,Fitted,2.9704458676910446,29843.67484093557,2.167597571711857,73080,3000,438480,0.005318300000000001,1.8570000000000001E-4,0.1341013,2.9702970297029703
1,concentrated,mixture,63196,102943469,Fitted,2.958263795855115,13.7176462023351,6.158378943161092,63196,3000,379176,0.0052691000000000005,0.005715700000000001,0.14298160000000001,2.9702970297029703
1,hierarchical,mh,46584,102943469,Completed,0.9883740676175772,NaN,1.0134541441678049,46584,1000,0,0.0,0.0,0.091739,0.9803921568627451
1,hierarchical,legacy,43792,102943469,Completed,0.9817038743627682,NaN,NaN,43792,0,0,0.0,0.0,0.071938,0.9803921568627451
1,hierarchical,prior,34824,102943469,Completed,0.9818303790813706,2965.242152259552,NaN,34824,0,313416,0.0,0.0,0.06682260000000001,0.9803921568627451
1,hierarchical,single,29384,102943469,Fitted,0.9800505493019864,14548.361888964282,1.1780895852846927,29384,3000,235072,0.005508300000000001,1.8260000000000002E-4,0.07127900000000001,0.9803921568627451
1,hierarchical,mixture,11160,102943469,IterationLimit,NaN,NaN,1.2539694360388411,0,3000,0,0.0057387,0.0721122,0.0779986,0.9803921568627451
1,hierarchical,mh,94824,102943469,Completed,0.9777117587282567,NaN,1.0046664509574261,94824,1000,0,0.0,0.0,0.20654750000000002,0.9803921568627451
1,hierarchical,legacy,87804,102943469,Completed,0.9821420051194897,NaN,NaN,87804,0,0,0.0,0.0,0.1582501,0.9803921568627451
1,hierarchical,prior,69696,102943469,Completed,0.9818491900389706,5942.493944461786,NaN,69696,0,627264,0.0,0.0,0.1358394,0.9803921568627451
1,hierarchical,single,61512,102943469,Fitted,0.9809789547889156,32583.970129728437,1.113700260979617,61512,3000,492096,0.005509900000000001,1.676E-4,0.1433333,0.9803921568627451
1,hierarchical,mixture,41528,102943469,Fitted,0.9813540042774304,19941.699185556583,1.2346146087458052,41528,3000,332224,0.0055786,0.0103894,0.1224075,0.9803921568627451
1,mixture,mh,42832,102943469,Completed,0.6316305565932013,NaN,1.0002477913900065,42832,1000,0,0.0,0.0,0.09342700000000001,0.631578947368421
1,mixture,legacy,102232,102943469,Completed,0.630508649359306,NaN,NaN,102232,0,0,0.0,0.0,0.0798359,0.631578947368421
1,mixture,prior,47620,102943469,Completed,0.6312297502016856,31251.80078718326,NaN,47620,0,333340,0.0,0.0,0.0819725,0.631578947368421
1,mixture,single,35864,102943469,Fitted,0.6276353197220657,6141.052684499064,1.003167289424367,35864,3000,251048,0.0060204,2.3050000000000002E-4,0.0798079,0.631578947368421
1,mixture,mixture,29192,102943469,Fitted,0.6324728516365883,27859.877636140096,1.0058801972136835,29192,3000,204344,0.006109300000000001,0.0055222000000000005,0.07868470000000001,0.631578947368421
1,mixture,mh,86692,102943469,Completed,0.628858487519033,NaN,1.0001207253679565,86692,1000,0,0.0,0.0,0.19228150000000002,0.631578947368421
1,mixture,legacy,204768,102943469,Completed,0.6306393952730976,NaN,NaN,204768,0,0,0.0,0.0,0.1578484,0.631578947368421
1,mixture,prior,95408,102943469,Completed,0.6303760395657929,62593.21364204525,NaN,95408,0,572448,0.0,0.0,0.1612182,0.631578947368421
1,mixture,single,74768,102943469,Fitted,0.6283481749100216,12799.286457162863,1.003167289424367,74768,3000,523376,0.006709700000000001,2.1180000000000003E-4,0.1608765,0.631578947368421
1,mixture,mixture,62548,102943469,Fitted,0.6308657789246417,59690.0452622485,1.0058801972136835,62548,3000,437836,0.0058669,0.0041195,0.15671300000000002,0.631578947368421
1,concentrated,legacy,58112,118429332,Completed,2.9818684339494723,NaN,NaN,58112,0,0,0.0,0.0,0.07767700000000001,2.9702970297029703
1,concentrated,prior,44100,118429332,Completed,2.985129304730867,72.22558501761092,NaN,44100,0,220500,0.0,0.0,0.07067430000000001,2.9702970297029703
1,concentrated,single,35104,118429332,Fitted,2.9699324000196796,10418.093744468686,6.298149157823333,35104,3000,210624,0.0052967000000000005,1.6910000000000002E-4,0.071496,2.9702970297029703
1,concentrated,mixture,23168,118429332,Fitted,2.969534181210929,5564.773016085604,4.0390303443250914,23168,3000,139008,0.005440400000000001,0.0106408,0.06622460000000001,2.9702970297029703
1,concentrated,mh,45744,118429332,Completed,2.9679959109133844,NaN,1.1952219951397052,45744,1000,0,0.0,0.0,0.09521990000000001,2.9702970297029703
1,concentrated,legacy,116584,118429332,Completed,2.977048669251509,NaN,NaN,116584,0,0,0.0,0.0,0.1749154,2.9702970297029703
1,concentrated,prior,88416,118429332,Completed,2.978844115839359,147.1450333146697,NaN,88416,0,442080,0.0,0.0,0.1463065,2.9702970297029703
1,concentrated,single,73080,118429332,Fitted,2.9702544246690956,21355.118207238287,6.298149157823333,73080,3000,438480,0.005493400000000001,1.797E-4,0.144852,2.9702970297029703
1,concentrated,mixture,63196,118429332,Fitted,2.9703165661100073,15290.310278605428,4.0390303443250914,63196,3000,315980,0.0055125,0.0101366,0.1539442,2.9702970297029703
1,concentrated,mh,92732,118429332,Completed,2.9633579455797,NaN,1.0575725952637907,92732,1000,0,0.0,0.0,0.1946304,2.9702970297029703
1,hierarchical,legacy,43792,118429332,Completed,0.9799418544117097,NaN,NaN,43792,0,0,0.0,0.0,0.0794408,0.9803921568627451
1,hierarchical,prior,34824,118429332,Completed,0.9794465032253603,3047.0044038151846,NaN,34824,0,348240,0.0,0.0,0.07204980000000001,0.9803921568627451
1,hierarchical,single,29384,118429332,Fitted,0.9807034690588756,15009.73718670876,1.0584631533018283,29384,3000,264456,0.005787400000000001,1.966E-4,0.07267620000000001,0.9803921568627451
1,hierarchical,mixture,11160,118429332,IterationLimit,NaN,NaN,1.1692791490653975,0,3000,0,0.006130900000000001,0.076838,0.0831018,0.9803921568627451
1,hierarchical,mh,46584,118429332,Completed,0.9848333360695831,NaN,1.005728491950244,46584,1000,0,0.0,0.0,0.1020974,0.9803921568627451
1,hierarchical,legacy,87804,118429332,Completed,0.9797025801114597,NaN,NaN,87804,0,0,0.0,0.0,0.1686253,0.9803921568627451
1,hierarchical,prior,69696,118429332,Completed,0.9791675246914769,6013.822442934344,NaN,69696,0,627264,0.0,0.0,0.1348741,0.9803921568627451
1,hierarchical,single,61512,118429332,Fitted,0.9816299658920351,28587.37566837313,1.1057479732282895,61512,3000,615120,0.0053668000000000006,1.459E-4,0.1425469,0.9803921568627451
1,hierarchical,mixture,41528,118429332,Fitted,0.9798546925949737,21630.465113625687,1.2968956278754658,41528,3000,415280,0.0056416,0.0241466,0.1328706,0.9803921568627451
1,hierarchical,mh,94824,118429332,Completed,0.9825700606556896,NaN,1.0070612122716627,94824,1000,0,0.0,0.0,0.19462230000000003,0.9803921568627451
1,mixture,legacy,102232,118429332,Completed,0.6316591425026937,NaN,NaN,102232,0,0,0.0,0.0,0.0774744,0.631578947368421
1,mixture,prior,47620,118429332,Completed,0.6326940478029752,31269.645067231115,NaN,47620,0,333340,0.0,0.0,0.0762602,0.631578947368421
1,mixture,single,35864,118429332,Fitted,0.628304842688946,6044.167878251223,1.0081171121200496,35864,3000,251048,0.0064946000000000005,1.885E-4,0.0778766,0.631578947368421
1,mixture,mixture,29192,118429332,Fitted,0.6303421447742836,27216.051187411304,1.0020590714221655,29192,3000,204344,0.005750000000000001,0.0044717,0.0772348,0.631578947368421
1,mixture,mh,42832,118429332,Completed,0.629319200597684,NaN,0.9999816564917707,42832,1000,0,0.0,0.0,0.0870885,0.631578947368421
1,mixture,legacy,204768,118429332,Completed,0.6317823481649191,NaN,NaN,204768,0,0,0.0,0.0,0.16191640000000002,0.631578947368421
1,mixture,prior,95408,118429332,Completed,0.6317020302579865,62625.33887030621,NaN,95408,0,667856,0.0,0.0,0.15389460000000002,0.631578947368421
