"vectorProfile","kind","group","detail","site","count","value"
"vectorProfile","allocation","diagnostics","[B","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:42","1","354608"
"vectorProfile","allocation","diagnostics","[C","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:42","1","450544"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$1:38","27","269915688"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:62","31","333177024"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:70","33","365126848"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:73","14","700616112"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:140","155","2688239528"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:145","412","7877137192"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:148","465","8742130432"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:150","96","2453026192"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize$$anonfun$1:121","102","2058185488"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:100","32","460735768"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:102","59","1421513616"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:121","84","1825583168"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:161","32","450963728"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:90","96","1838590400"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:39","18","358201032"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:43","21","447877464"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","17","318811920"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:66","17","828032904"
"vectorProfile","allocation","diagnostics","[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:68","1","31533768"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:101","49","602076840"
"vectorProfile","allocation","diagnostics","[I","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:103","8","85962736"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:101","42","602248224"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","19","133849960"
"vectorProfile","allocation","diagnostics","[Ljava.lang.Object;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:66","24","305389184"
"vectorProfile","allocation","diagnostics","[Ljdk.internal.org.objectweb.asm.SymbolTable$Entry;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6:70","1","353784"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:145","170","3094531208"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:147","72","1715166744"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:148","191","2780448952"
"vectorProfile","allocation","diagnostics","[Lorg.apache.commons.math3.complex.Complex;","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:150","40","672424944"
"vectorProfile","allocation","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:121","4","55781544"
"vectorProfile","allocation","diagnostics","[[D","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.split$$anonfun$1:90","11","336627736"
"vectorProfile","allocation","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4878","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:150","8","237612264"
"vectorProfile","allocation","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4884","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:161","3","50912568"
"vectorProfile","allocation","diagnostics","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4896","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:73","1","6169040"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4871.apply:-1","1","27366464"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4878.apply:-1","379","6355851432"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$$$Lambda$4884.apply:-1","104","1910251088"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$5:62","210","4352079048"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$6$$anonfun$1:70","403","8687300568"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$8:73","168","2451967368"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.average:84","4166","70582424936"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:157","1","14618928"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rho$1:161","193","3478896080"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:42","184","2758407872"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:43","202","3527919368"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:53","85","1670640936"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:66","144","2623975504"
"vectorProfile","allocation","diagnostics","java.lang.Double","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.variance:87","1031","17864448480"
"vectorProfile","allocation","diagnostics","java.lang.Integer","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.rankNormalize:101","368","7078328296"
"vectorProfile","allocation","diagnostics","java.lang.invoke.TypeConvertingMethodAdapter","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.summarize:37","1","226632"
"vectorProfile","allocation","diagnostics","jdk.internal.org.objectweb.asm.SymbolTable$Entry","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.ess:157","1","28467464"
"vectorProfile","allocation","diagnostics","org.apache.commons.math3.complex.Complex","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.$anonfun$15:147","1016","16743144624"
"vectorProfile","allocation","diagnostics","org.apache.commons.math3.complex.Complex","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:145","1143","18759895904"
"vectorProfile","allocation","diagnostics","org.apache.commons.math3.complex.Complex","com.cra.figaro.algorithm.sampling.parallel.McmcDiagnostics$.autocovariance:148","1115","19172737208"
