case,seed,method,status,truth,estimate,mcse,eventEss,hits,pilotCalls,productionCalls,densityCalls,seconds
common,90013,supplied,Completed,0.5,0.5006999999999999,0.005000245118504147,5006.999999999999,5007,0,10000,20000,0.0054179
common,90013,prior,Completed,0.5,0.49569999999999964,0.005000065106086757,4957.0,4957,0,10000,20000,0.0035916
common,90014,supplied,Completed,0.5,0.49820000000000025,0.005000217617026471,4981.999999999999,4982,0,10000,20000,0.0053095
common,90014,prior,Completed,0.5,0.4989999999999997,0.005000240018241512,4990.0,4990,0,10000,20000,0.0041449
common,90014,ce,Fitted,0.5,0.5037251393396175,0.003909970512816932,6042.033763705247,7302,500,9500,20000,0.0061473
common,90015,prior,Completed,0.5,0.4966999999999996,0.005000141112120156,4967.0,4967,0,10000,20000,0.003558
common,90015,ce,Fitted,0.5,0.5053138768395874,0.003913899104363825,6051.462080109946,7203,500,9500,20000,0.0058475
common,90015,supplied,Completed,0.5,0.4954000000000003,0.005000038403692896,4954.0,4954,0,10000,20000,0.0054913
common,90016,ce,Fitted,0.5,0.4975184227211074,0.003947919559505732,5944.4447120766745,7236,500,9500,20000,0.0054548
common,90016,supplied,Completed,0.5,0.49269999999999975,0.004999717063701892,4927.0,4927,0,10000,20000,0.0058114
common,90016,prior,Completed,0.5,0.4974999999999996,0.005000187515235675,4975.0,4975,0,10000,20000,0.0036435
common,90017,supplied,Completed,0.5,0.5012000000000005,0.005000235618010808,5012.0,5012,0,10000,20000,0.0056046
common,90017,prior,Completed,0.5,0.5017999999999994,0.005000217617026457,5018.0,5018,0,10000,20000,0.003914
common,90017,ce,Fitted,0.5,0.5013925345525506,0.003837892708001634,6103.222887548013,7323,500,9500,20000,0.0056176
common,90018,prior,Completed,0.5,0.5006999999999999,0.005000245118504174,5007.0,5007,0,10000,20000,0.0036807
common,90018,ce,Fitted,0.5,0.4974226860561331,0.0038511222570858047,6053.35038432041,7196,500,9500,20000,0.0084674
common,90018,supplied,Completed,0.5,0.4917000000000007,0.004999561036836756,4916.999999999999,4917,0,10000,20000,0.0057162
common,90019,ce,Fitted,0.5,0.5016347996359424,0.0038160693183544145,6130.171953142063,7244,500,9500,20000,0.0060804
common,90019,supplied,Completed,0.5,0.4997,0.005000249118706476,4996.999999999999,4997,0,10000,20000,0.0053717
common,90019,prior,Completed,0.5,0.5020999999999992,0.005000205916351917,5021.0,5021,0,10000,20000,0.0038064
common,90020,supplied,Completed,0.5,0.5013,0.005000233117877967,5012.999999999999,5013,0,10000,20000,0.0053615
common,90020,prior,Completed,0.5,0.49829999999999974,0.005000221117222925,4983.0,4983,0,10000,20000,0.0037251
common,90020,ce,Fitted,0.5,0.49632458357187154,0.003895621568518444,5992.957468228003,7137,500,9500,20000,0.0055273
common,90021,prior,Completed,0.5,0.5060999999999992,0.004999877886297573,5061.0,5061,0,10000,20000,0.0036855
common,90021,ce,Fitted,0.5,0.49697388149761385,0.0039541746278673184,5932.519425752614,7218,500,9500,20000,0.0084185
common,90021,supplied,Completed,0.5,0.5013999999999995,0.005000230417733039,5014.0,5014,0,10000,20000,0.006661
common,90022,ce,Fitted,0.5,0.5007971528509548,0.0036987782565069513,6257.5410598326935,7264,500,9500,20000,0.0066942
common,90022,supplied,Completed,0.5,0.5046999999999997,0.00500002910282561,5047.0,5047,0,10000,20000,0.006609
common,90022,prior,Completed,0.5,0.5057999999999997,0.0049999135906124694,5058.0,5058,0,10000,20000,0.0037032
common,90023,supplied,Completed,0.5,0.49559999999999915,0.005000056405322396,4956.0,4956,0,10000,20000,0.0058792
common,90023,prior,Completed,0.5,0.5045999999999998,0.005000038403692896,5046.0,5046,0,10000,20000,0.0037541
common,90023,ce,Fitted,0.5,0.503297405513348,0.003853180693575999,6102.421714602282,7263,500,9500,20000,0.0057837
common,90024,prior,Completed,0.5,0.49199999999999955,0.004999609945781873,4920.0,4920,0,10000,20000,0.0037402
common,90024,ce,Fitted,0.5,0.5015352939391505,0.0038025313225524835,6144.750898680899,7238,500,9500,20000,0.0076023
common,90024,supplied,Completed,0.5,0.4974999999999996,0.005000187515235675,4975.0,4975,0,10000,20000,0.0056526
common,90025,ce,Fitted,0.5,0.5017138677277116,0.003880936401369814,6057.205823269591,7399,500,9500,20000,0.005621
common,90025,supplied,Completed,0.5,0.4955000000000002,0.005000047504524803,4954.999999999999,4955,0,10000,20000,0.0055165
common,90025,prior,Completed,0.5,0.49469999999999975,0.004999969096814187,4947.0,4947,0,10000,20000,0.0037959
common,90026,supplied,Completed,0.5,0.5017000000000005,0.005000221117222969,5016.999999999999,5017,0,10000,20000,0.0054082
common,90026,prior,Completed,0.5,0.5033999999999996,0.005000134411634712,5034.0,5034,0,10000,20000,0.0037657
common,90026,ce,Fitted,0.5,0.5000743050274497,0.00372204401399481,6224.506503469381,7290,500,9500,20000,0.0057364
common,90027,prior,Completed,0.5,0.49569999999999964,0.005000065106086784,4957.0,4957,0,10000,20000,0.0036025
common,90027,ce,Fitted,0.5,0.4989214472531138,0.0038134041786428716,6109.594702117169,7237,500,9500,20000,0.0054682
common,90027,supplied,Completed,0.5,0.4991000000000001,0.005000241918339961,4990.999999999999,4991,0,10000,20000,0.0055737
common,90028,ce,Fitted,0.5,0.5004668295648012,0.003734014136273183,6214.084646338512,7196,500,9500,20000,0.006087
common,90028,supplied,Completed,0.5,0.4986000000000004,0.005000230417733057,4985.999999999999,4986,0,10000,20000,0.005991
common,90028,prior,Completed,0.5,0.49989999999999973,0.005000249918746559,4999.0,4999,0,10000,20000,0.0036661
common,90029,supplied,Completed,0.5,0.5041000000000005,0.005000081907519919,5040.999999999999,5041,0,10000,20000,0.0055001
common,90029,prior,Completed,0.5,0.5066999999999999,0.0049998010761509665,5067.0,5067,0,10000,20000,0.0035977
common,90029,ce,Fitted,0.5,0.4985586322683176,0.004046320132817326,5843.637975183724,7349,500,9500,20000,0.0058317
tail3,90000,prior,Completed,0.0013498980316300946,0.0011999999999999984,3.4621956443661554E-4,12.0,12,0,10000,20000,0.0039529
tail3,90000,ce,Fitted,0.0013498980316300946,0.0013081888713251254,2.228335916672757E-5,2452.414067951903,4902,1500,8500,20000,0.0077832
tail3,90000,supplied,Completed,0.0013498980316300946,0.001330722114701906,2.6438505124168848E-5,2021.4698904205059,4462,0,10000,20000,0.0057195
tail3,90001,ce,Fitted,0.0013498980316300946,0.0013462402532754933,2.3282116064626577E-5,2399.8057103435713,5175,1500,8500,20000,0.0060284
tail3,90001,supplied,Completed,0.0013498980316300946,0.0013517306507257634,2.651390483074397E-5,2063.1263857168415,4495,0,10000,20000,0.0053188
tail3,90001,prior,Completed,0.0013498980316300946,0.0014999999999999994,3.8702710369933993E-4,15.0,15,0,10000,20000,0.0036791
tail3,90002,supplied,Completed,0.0013498980316300946,0.0013197771725845238,2.597401490407583E-5,2052.1764604352093,4486,0,10000,20000,0.0054541
tail3,90002,prior,Completed,0.0013498980316300946,6.999999999999995E-4,2.644957387172427E-4,7.0,7,0,10000,20000,0.0036985
tail3,90002,ce,Fitted,0.0013498980316300946,0.0013331935322438708,2.2850424757004356E-5,2430.848891669554,5180,1500,8500,20000,0.0059336
tail3,90003,prior,Completed,0.0013498980316300946,0.0016999999999999986,4.1198054905210965E-4,17.0,17,0,10000,20000,0.0037649
tail3,90003,ce,Fitted,0.0013498980316300946,0.0013513695970053506,2.30665356570456E-5,2445.2045225370844,4942,1500,8500,20000,0.0059052
tail3,90003,supplied,Completed,0.0013498980316300946,0.001358202128005941,2.6695052385811205E-5,2056.476964601157,4449,0,10000,20000,0.0056977
tail3,90004,ce,Fitted,0.0013498980316300946,0.0013470586507752392,2.2587461018958735E-5,2507.652442864854,5047,1500,8500,20000,0.005895
tail3,90004,supplied,Completed,0.0013498980316300946,0.00135546215582445,2.6557908616587426E-5,2066.7261199871496,4493,0,10000,20000,0.0054571
